id;Enseignes;Latitude;Longitude;CP;Adresse;Ville;Type
1000001;Carrefour Market;4620100.0;519800.0;1000;596 AVENUE DE TREVOUX;SAINT-DENIS-LèS-BOURG;R
1000002;Carrefour Market;4621842.0;522767.0;1000;16 Avenue de Marboz;BOURG-EN-BRESSE;R
1000008;Carrefour;4619900.0;524100.0;1000;Bd Charles de Gaulle;BOURG-EN-BRESSE;R
1100002;Carrefour Market;4625000.0;564400.0;1100;Rue Brillat-Savarin;OYONNAX;R
1110001;Carrefour Market;4597800.0;559900.0;1110;Rue Masonod;HAUTEVILLE-LOMPNES;R
1150001;Carrefour Market;4590200.0;534600.0;1150;8 RUE DE L'INDUSTRIE;LAGNIEU;R
1170001;Carrefour;4629300.0;607900.0;1170;RN5;SéGNY;R
1170002;Carrefour Market;4632200.0;605300.0;1170;Lieu-Dit les Vertes Campagnes;GEX;R
1200001;Carrefour Market;4610600.0;582300.0;1200;69 Rue de la République;Bellegarde-sur-Valserine;R
1200003;Carrefour;4612400.0;581200.0;1200;Avenue Maréchal de Lattre de Tassigny;Bellegarde-sur-Valserine;R
1210001;Carrefour;4625303.0;611817.0;1210;Chemin de la Brunette;FERNEY-VOLTAIRE;R
1220001;Carrefour Market;4634300.0;614100.0;1220;691 AVENUE DU CRET D'EAU;Divonne-les-Bains;R
1300001;Carrefour;4576000.0;568600.0;1300;ZAC DE L OUSSON;Belley;R
1340005;Carrefour Market;4633472.64;512600.21;1340;103 RUE DES LUYERS;Montrevel-en-Bresse;R
1350004;Carrefour Market;4584733.2623162;578691.58896959;1350;450 AVENUE JEAN FALCONNIER;Culoz;R
1390001;Carrefour Market;4592700.0;495800.0;1390;70 Allées des Marronniers;Saint-André-de-Corcy;R
1400001;Carrefour Market;4611900.0;496100.0;1400;AVENUE MARECHAL FOCH;CHATILLON-SUR-CHALARONNE;R
1460001;Carrefour Market;4617225.0;557729.0;1460;68 Rue du Jura;MONTREAL-LA-CLUSE;R
1480001;Carrefour Market;4598403.0;475694.0;1480; Rue Édouard Herriot;JASSANS-RIOTTIER;R
1500001;Carrefour Market;4596243.9754254;535907.07856714;1500;Rue Alexandre Bérard;Ambérieu-en-Bugey;R
1510003;Carrefour Contact;4587300.0;569800.0;1510;"1 rue des champs ""les terrasses""";Artemare;R
1540001;Carrefour Market;4619800.0;499400.0;1540;184 rue du 19 mars 1962;VONNAS;R
1600001;Carrefour Market;4582800.0;497200.0;1700;Rue du Figuier;MIRIBEL;R
1600002;Carrefour Market;4593472.4745;479062.770497;1600;324 Route de Lyon;TREVOUX;R
1630001;Carrefour Market;4624200.0;602500.0;1630;RUE DE GENEVE -;SAINT-GENIS-POUILLY;R
1800001;Carrefour Market;4590100.0;519100.0;1800;47 Route de Lyon;MEXIMIEUX;R
1960001;Carrefour Market;4618200.0;521400.0;1960;Chemin de Bellevue;PERONNAS;R
2000002;Carrefour;4954800.0;361600.0;2000;ZAC ILE DE FRANCE;LAON;R
2000003;Carrefour Market;4957005.31713;360820.562241;2000;16 RUE FERNAND CHRIST;LAON;R
2000010;Carrefour Market;4956363.2230136;364568.61996276;2000;RUE DU DR MENU;Laon;R
2120003;Carrefour Market;4990316.0;362899.0;2120;RUE SADI CARNOT;GUISE;R
2170001;Carrefour Market;5001300.0;378100.0;2170;RUE DES VERRIERS;LE NOUVION-EN-THIéRACHE;R
2190007;Carrefour Market;4943503.6675202;396689.49241097;2190;3 Rue Pierre Curtil;Guignicourt;R
2200011;Carrefour Market;4938127.0;330822.0;2200;Avenue de Compiègne;MERCIN-ET-VAUX;R
2200012;Carrefour Contact;4936299.0;340346.0;2200;Rue d'Acy;Venizel;R
2220001;Carrefour Market;4934100.0;352900.0;2220;34 BD DE MONTPELLIER;BRAINE;R
2230002;Carrefour Market;4995800.0;343000.0;2230;1000 rue jean jaures;Fresnoy-le-Grand;R
2250001;Carrefour Market;4974300.0;377300.0;2250;Rue Saint Nicolas;MARLE;R
2260001;Carrefour Market;4997300.0;391800.0;2260;rue de l'armistice;LA CAPELLE;R
